# Parte A – EMG emulado extendido | 20260422_151228
# Fs=1000 Hz | Duracion=52 s | Repeticiones=11
# Tiempo[s]	Amplitud[V]
0.000000	-0.223204
0.001000	-0.298838
0.002000	-0.323299
0.003000	-0.322333
0.004000	-0.325230
0.005000	-0.300448
0.006000	-0.298838
0.007000	-0.270516
0.008000	-0.225135
0.009000	-0.207112
0.010000	-0.188444
0.011000	-0.131155
0.012000	-0.038463
0.013000	-0.038141
0.014000	0.017217
0.015000	-0.014646
0.016000	-0.015611
0.017000	-0.045543
0.018000	-0.063889
0.019000	-0.063245
0.020000	-0.080947
0.021000	-0.060992
0.022000	-0.059061
0.023000	-0.046187
0.024000	-0.052302
0.025000	-0.027198
0.026000	0.000159
0.027000	-0.008531
0.028000	0.009171
0.029000	0.027838
0.030000	0.026229
0.031000	0.045218
0.032000	0.060989
0.033000	0.053264
0.034000	0.060667
0.035000	0.067426
0.036000	0.061310
0.037000	0.054873
0.038000	0.043609
0.039000	0.062920
0.040000	0.074184
0.041000	0.093817
0.042000	0.087058
0.043000	0.093495
0.044000	0.115059
0.045000	0.141773
0.046000	0.140485
0.047000	0.157543
0.048000	0.192303
0.049000	0.191337
0.050000	0.220947
0.051000	0.259247
0.052000	0.267616
0.053000	0.331020
0.054000	0.538612
0.055000	0.637420
0.056000	-0.130512
0.057000	-0.064854
0.058000	-0.057130
0.059000	0.060989
0.060000	0.113450
0.061000	0.122462
0.062000	0.123427
0.063000	0.129221
0.064000	0.107335
0.065000	0.107013
0.066000	0.116668
0.067000	0.143060
0.068000	0.147888
0.069000	0.163015
0.070000	0.148531
0.071000	0.169130
0.072000	0.180395
0.073000	0.192303
0.074000	0.187475
0.075000	0.199062
0.076000	0.229959
0.077000	0.228994
0.078000	0.274374
0.079000	0.303019
0.080000	0.310421
0.081000	0.313640
0.082000	0.294007
0.083000	0.283386
0.084000	0.285639
0.085000	0.255707
0.086000	0.242511
0.087000	0.250558
0.088000	0.221591
0.089000	0.205177
0.090000	0.198418
0.091000	0.169774
0.092000	0.192625
0.093000	0.192303
0.094000	0.199705
0.095000	0.209361
0.096000	0.197131
0.097000	0.207108
0.098000	0.223844
0.099000	0.222557
0.100000	0.256351
0.101000	0.279524
0.102000	0.298191
0.103000	0.325870
0.104000	0.375435
0.105000	0.366423
0.106000	0.374791
0.107000	0.405045
0.108000	0.368354
0.109000	0.361274
0.110000	0.293363
0.111000	0.206786
0.112000	0.198096
0.113000	0.144347
0.114000	-0.153685
0.115000	-0.210974
0.116000	-0.125040
0.117000	-0.031382
0.118000	-0.030095
0.119000	0.139198
0.120000	0.384447
0.121000	0.387665
0.122000	0.453644
0.123000	0.387665
0.124000	0.303019
0.125000	0.248948
0.126000	0.181360
0.127000	0.150784
0.128000	0.149497
0.129000	0.135658
0.130000	0.084805
0.131000	0.076115
